end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:57.621766",70.292,70.282908674382981,70.42500000000004,4.1165034622499803,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.606251",70.274,70.278454350392153,70.148,4.1323481618505067,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.590581",70.303,70.290727274998147,70.50599999999997,4.1430101002870998,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.574682",70.316,70.303363742975122,70.40700000000004,4.1354001756211467,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.558783",70.276,70.289681995278329,69.99599999999995,4.1207585400583913,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.543227",70.275,70.282341033531793,70.26800000000007,4.1138217548924167,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.527689",70.273,70.277670531369751,70.25899999999993,4.0921178833173943,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.511821",70.32,70.298835564251263,70.64899999999997,4.1066510329783306,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.495877",70.353,70.325918270718304,70.584,4.1482449687005127,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.478662",70.29,70.307959347325834,69.84900000000009,4.1380688615519459,1010593.152,-1,9098,8948,34977,5383
"-1 day, 23:59:57.462907",70.295,70.301479701078989,70.32999999999997,4.1055987368759785,1010593.152,-1,9098,8948,34977,5383
"-1 day, 23:59:57.447041",70.324,70.312739935247066,70.52699999999997,4.0700596409881644,1010593.152,-1,9098,8948,34977,5383
"-1 day, 23:59:57.431529",70.264,70.28837036520703,69.84399999999998,4.068285484132927,1010593.152,-1,9098,8948,34977,5383
"-1 day, 23:59:57.415999",70.288,70.288185183500374,70.456,4.1042865132202717,1010593.152,-1,9098,8948,34977,5383
"-1 day, 23:59:57.400514",70.279,70.283592605471426,70.216,4.0989860057322751,1010593.152,-1,9098,8948,34977,5383
"-1 day, 23:59:57.383500",70.307,70.295296394176489,70.50300000000004,4.1029340206797489,1010593.152,-1,9098,8948,34977,5383
"-1 day, 23:59:57.367430",70.285,70.290148214703393,70.13099999999996,4.1394389694662381,1010593.152,-1,9098,8948,34977,5383
"-1 day, 23:59:57.351319",70.322,70.306074275503036,70.58100000000005,4.1231195586521858,1010593.152,-1,9098,8948,34977,5383
"-1 day, 23:59:57.335347",70.317,70.311537157505271,70.28199999999993,4.1249960634086253,1010593.152,-1,9098,8948,34977,5383
"-1 day, 23:59:57.317814",70.289,70.300268662954025,70.09300000000006,4.1033792185176168,1027979.856,-1,9098,8948,34977,5383
"-1 day, 23:59:57.302071",70.288,70.294134356689781,70.28099999999996,4.1003113080515794,1027979.856,-1,9098,8948,34977,5383
"-1 day, 23:59:57.286308",70.31,70.302067220346032,70.46400000000004,4.0820468791279882,1027979.856,-1,9098,8948,34977,5383
"-1 day, 23:59:57.270661",70.282,70.292033677593139,70.08599999999996,4.0976013475401585,1027979.856,-1,9098,8948,34977,5383
"-1 day, 23:59:57.255044",70.282,70.287016855585321,70.282,4.1119550431296732,1027979.856,-1,9098,8948,34977,5383
"-1 day, 23:59:57.239117",70.299,70.293008451647538,70.41800000000008,4.109627763327981,1027979.856,-1,9098,8948,34977,5383
"-1 day, 23:59:57.223570",70.319,70.306004338302728,70.45899999999997,4.1106131027956412,1027979.856,-1,9098,8948,34977,5383
"-1 day, 23:59:57.208031",70.299,70.302502177282804,70.15900000000003,4.1288691814119849,1027979.856,-1,9098,8948,34977,5383
"-1 day, 23:59:57.192339",70.281,70.291751165296787,70.155,4.1129383302773856,1027979.856,-1,9098,8948,34977,5383
"-1 day, 23:59:57.176440",70.266,70.27887569286473,70.161,4.089917459458114,1027979.856,-1,9098,8948,34977,5383
"-1 day, 23:59:57.158900",70.295,70.286937890052144,70.49799999999998,4.0887285886810103,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.143587",70.292,70.289468949421689,70.271,4.11767498154357,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.127765",70.337,70.31323485084701,70.65200000000002,4.1391234728108675,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.111977",70.292,70.302617499358618,69.97699999999999,4.1375954586442605,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.095974",70.308,70.305308754213797,70.42000000000004,4.1061972014133277,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.079930",70.339,70.322154565805391,70.55599999999994,4.1017719702333748,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.063849",70.272,70.29707770173826,69.80300000000005,4.0804124497581356,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.047710",70.307,70.302038868357215,70.55199999999998,4.0981829860859085,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.031731",70.328,70.315019546651641,70.47500000000001,4.0903737755518081,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:57.015785",70.293,70.30400985445155,70.04800000000003,4.0894930651845094,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:56.998226",70.271,70.287505109453974,70.11699999999996,4.1132681494653269,1026392.688,-1,9098,8948,34977,5383
"-1 day, 23:59:56.982653",70.225,70.256253205663214,69.90299999999995,4.0738506247708575,1026392.688,-1,9098,8948,34977,5383
"-1 day, 23:59:56.966801",70.291,70.27362680630992,70.75300000000001,4.0803002698057735,1026392.688,-1,9098,8948,34977,5383
"-1 day, 23:59:56.951171",70.262,70.26781342610191,70.05900000000003,4.1285787541738106,1026392.688,-1,9098,8948,34977,5383
"-1 day, 23:59:56.935040",70.214,70.24090719441989,69.87799999999999,4.1448759036267564,1026392.688,-1,9098,8948,34977,5383
"-1 day, 23:59:56.919225",70.297,70.268954117064268,70.87799999999999,4.1595967459844418,1026392.688,-1,9098,8948,34977,5383
"-1 day, 23:59:56.903437",70.319,70.293977469996079,70.47300000000004,4.1444887809286586,1026392.688,-1,9098,8948,34977,5383
"-1 day, 23:59:56.887116",70.257,70.275488960475869,69.82300000000002,4.16902182638254,1026392.688,-1,9098,8948,34977,5383
"-1 day, 23:59:56.871253",70.297,70.286244555289883,70.57699999999994,4.1617187667873354,1026392.688,-1,9098,8948,34977,5383
"-1 day, 23:59:56.855701",70.288,70.287122278014962,70.225,4.1032241130131109,1026392.688,-1,9098,8948,34977,5383
"-1 day, 23:59:56.838055",70.325,70.306061377155046,70.58400000000005,4.1120219964877043,1011531.024,-1,9098,8948,34977,5383
"-1 day, 23:59:56.822530",70.31,70.308030691562436,70.205,4.1449843317344053,1011531.024,-1,9098,8948,34977,5383
"-1 day, 23:59:56.806995",70.352,70.330015665308693,70.64600000000002,4.1167691284017787,1011531.024,-1,9098,8948,34977,5383
"-1 day, 23:59:56.791482",70.22,70.275009839266829,69.29599999999996,4.0967066411225508,1011531.024,-1,9098,8948,34977,5383
"-1 day, 23:59:56.775687",70.076,70.175511511795051,69.06799999999996,4.0317077580239191,1011531.024,-1,9098,8948,34977,5383
"-1 day, 23:59:56.760069",70.335,70.255260069837874,72.148,4.0618868934619323,1011531.024,-1,9098,8948,34977,5383
